Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
10/21/17,transport,transport,2017-10-21T16:52:45-07:00,2017-10-21T16:59:44-07:00,419,0.635,0,0
10/21/17,walking,walking,2017-10-21T16:59:45-07:00,2017-10-21T17:02:20-07:00,155,0.112,250,11
10/21/17,walking,walking,2017-10-21T18:03:31-07:00,2017-10-21T18:04:27-07:00,56,0.028,90,3
10/21/17,transport,transport,2017-10-21T18:09:06-07:00,2017-10-21T18:13:50-07:00,284,0.434,0,0
10/21/17,walking,walking,2017-10-21T19:18:31-07:00,2017-10-21T19:19:04-07:00,33,0.016,50,1
10/21/17,transport,transport,2017-10-21T21:58:23-07:00,2017-10-21T22:05:09-07:00,406,1.391,0,0
10/23/17,transport,transport,2017-10-23T15:18:05-07:00,2017-10-23T15:30:07-07:00,722,4.015,0,0
10/23/17,walking,walking,2017-10-23T15:42:58-07:00,2017-10-23T15:54:36-07:00,698,0.528,1264,51
10/23/17,walking,walking,2017-10-23T15:55:45-07:00,2017-10-23T15:57:05-07:00,80,0.037,120,4
10/23/17,walking,walking,2017-10-23T17:09:15-07:00,2017-10-23T17:11:05-07:00,110,0.050,161,5
10/23/17,walking,walking,2017-10-23T17:28:19-07:00,2017-10-23T17:38:00-07:00,581,0.388,698,37
10/23/17,walking,walking,2017-10-23T17:39:16-07:00,2017-10-23T17:41:49-07:00,153,0.107,230,10
10/23/17,transport,transport,2017-10-23T17:51:51-07:00,2017-10-23T18:03:23-07:00,692,2.988,0,0
10/23/17,transport,transport,2017-10-23T20:00:20-07:00,2017-10-23T20:06:23-07:00,363,1.242,0,0
10/23/17,transport,transport,2017-10-23T20:28:20-07:00,2017-10-23T20:35:46-07:00,446,1.251,0,0
10/24/17,transport,transport,2017-10-24T09:58:45-07:00,2017-10-24T10:15:25-07:00,1000,1.012,0,0
10/24/17,transport,transport,2017-10-24T14:42:07-07:00,2017-10-24T14:53:16-07:00,669,6.054,0,0
10/24/17,walking,walking,2017-10-24T15:01:02-07:00,2017-10-24T15:11:13-07:00,611,0.428,1197,41
10/24/17,walking,walking,2017-10-24T15:21:43-07:00,2017-10-24T15:21:46-07:00,3,0.001,5,0
10/24/17,walking,walking,2017-10-24T15:22:30-07:00,2017-10-24T15:36:21-07:00,831,0.482,1409,46
10/24/17,walking,walking,2017-10-24T15:40:20-07:00,2017-10-24T15:55:10-07:00,890,0.580,1519,55
10/24/17,transport,transport,2017-10-24T15:55:10-07:00,2017-10-24T16:03:46-07:00,516,4.884,0,0
10/24/17,transport,transport,2017-10-24T16:08:47-07:00,2017-10-24T16:19:11-07:00,624,1.479,0,0
10/24/17,transport,transport,2017-10-24T22:22:08-07:00,2017-10-24T22:34:43-07:00,755,1.251,0,0
10/26/17,transport,transport,2017-10-26T14:13:53-07:00,2017-10-26T14:26:01-07:00,728,3.710,0,0
10/26/17,walking,walking,2017-10-26T14:30:25-07:00,2017-10-26T14:38:13-07:00,468,0.445,955,43
10/26/17,walking,walking,2017-10-26T14:38:14-07:00,2017-10-26T14:43:14-07:00,300,0.210,451,20
10/26/17,walking,walking,2017-10-26T14:53:16-07:00,2017-10-26T15:07:51-07:00,875,0.567,1297,54
10/26/17,transport,transport,2017-10-26T15:11:55-07:00,2017-10-26T15:18:52-07:00,417,3.193,0,0
10/26/17,walking,walking,2017-10-26T15:42:27-07:00,2017-10-26T15:42:53-07:00,26,0.012,40,1
10/26/17,walking,walking,2017-10-26T20:00:08-07:00,2017-10-26T20:00:37-07:00,29,0.012,40,1
10/26/17,transport,transport,2017-10-26T22:55:50-07:00,2017-10-26T23:03:56-07:00,486,1.195,0,0
10/27/17,transport,transport,2017-10-27T21:58:33-07:00,2017-10-27T22:06:18-07:00,465,2.596,0,0
10/28/17,transport,transport,2017-10-28T13:06:35-07:00,2017-10-28T13:23:15-07:00,1000,2.304,0,0
10/28/17,walking,walking,2017-10-28T14:00:26-07:00,2017-10-28T14:00:52-07:00,26,0.012,40,1
10/28/17,transport,transport,2017-10-28T14:05:22-07:00,2017-10-28T14:09:57-07:00,275,0.985,0,0
10/28/17,transport,transport,2017-10-28T14:55:43-07:00,2017-10-28T15:09:13-07:00,810,1.708,0,0
10/28/17,transport,transport,2017-10-28T18:44:24-07:00,2017-10-28T18:48:10-07:00,226,1.389,0,0
10/28/17,walking,walking,2017-10-28T20:58:32-07:00,2017-10-28T20:59:12-07:00,40,0.019,60,2
10/29/17,transport,transport,2017-10-29T12:30:24-07:00,2017-10-29T12:47:04-07:00,1000,1.574,0,0
10/29/17,walking,walking,2017-10-29T13:16:29-07:00,2017-10-29T13:16:48-07:00,19,0.009,30,1
10/29/17,walking,walking,2017-10-29T14:24:35-07:00,2017-10-29T14:25:04-07:00,29,0.009,30,1
10/29/17,transport,transport,2017-10-29T14:27:07-07:00,2017-10-29T14:40:48-07:00,821,1.961,0,0
10/29/17,transport,transport,2017-10-29T15:37:43-07:00,2017-10-29T15:41:03-07:00,200,0.459,0,0
