Date,Type,Name,Start,End,Duration
4/6/18,move,transport,2018-04-06T22:20:19-07:00,2018-04-06T22:32:21-07:00,722
4/6/18,place,Unknown,2018-04-06T22:32:22-07:00,2018-04-07T00:00:00-07:00,5258
4/7/18,place,Unknown,2018-04-07T00:00:00-07:00,2018-04-07T08:32:41-07:00,30761
4/7/18,move,transport,2018-04-07T08:32:41-07:00,2018-04-07T08:40:13-07:00,452
4/7/18,place,Unknown,2018-04-07T08:40:14-07:00,2018-04-07T12:21:57-07:00,13303
4/7/18,move,transport,2018-04-07T12:21:57-07:00,2018-04-07T12:29:26-07:00,449
4/7/18,place,Unknown,2018-04-07T12:29:27-07:00,2018-04-07T13:21:06-07:00,3099
4/7/18,move,transport,2018-04-07T13:21:06-07:00,2018-04-07T13:25:22-07:00,256
4/7/18,place,Unknown,2018-04-07T13:25:23-07:00,2018-04-07T13:36:17-07:00,654
4/7/18,move,walking,2018-04-07T13:36:17-07:00,2018-04-07T13:51:04-07:00,887
4/7/18,place,Unknown,2018-04-07T13:51:05-07:00,2018-04-07T14:17:49-07:00,1604
4/7/18,move,walking,2018-04-07T14:17:49-07:00,2018-04-07T14:23:14-07:00,325
4/7/18,place,Unknown,2018-04-07T14:23:15-07:00,2018-04-07T15:04:45-07:00,2490
4/7/18,place,Unknown,2018-04-07T15:04:45-07:00,2018-04-07T15:25:57-07:00,1272
4/7/18,move,walking,2018-04-07T15:25:57-07:00,2018-04-07T15:40:53-07:00,896
4/7/18,place,Unknown,2018-04-07T15:40:53-07:00,2018-04-07T15:59:10-07:00,1097
4/7/18,move,transport,2018-04-07T15:59:10-07:00,2018-04-07T16:13:50-07:00,880
4/7/18,place,Unknown,2018-04-07T16:14:51-07:00,2018-04-07T22:53:29-07:00,23918
4/7/18,move,transport,2018-04-07T22:53:29-07:00,2018-04-07T23:02:03-07:00,514
4/7/18,place,Unknown,2018-04-07T23:02:04-07:00,2018-04-08T00:00:00-07:00,3476
4/8/18,place,Unknown,2018-04-08T00:00:00-07:00,2018-04-08T07:58:04-07:00,28684
4/8/18,move,transport,2018-04-08T07:58:04-07:00,2018-04-08T08:07:35-07:00,571
4/8/18,place,Unknown,2018-04-08T08:07:36-07:00,2018-04-08T12:42:59-07:00,16523
4/8/18,move,transport,2018-04-08T12:42:59-07:00,2018-04-08T12:49:36-07:00,397
4/8/18,place,Unknown,2018-04-08T12:49:37-07:00,2018-04-08T14:00:09-07:00,4232
4/8/18,move,transport,2018-04-08T14:00:09-07:00,2018-04-08T14:03:23-07:00,194
4/8/18,place,Unknown,2018-04-08T14:03:24-07:00,2018-04-08T14:08:55-07:00,331
4/8/18,move,transport,2018-04-08T14:08:55-07:00,2018-04-08T14:25:27-07:00,992
4/8/18,move,walking,2018-04-08T14:25:27-07:00,2018-04-08T14:27:19-07:00,112
4/8/18,move,walking,2018-04-08T14:27:20-07:00,2018-04-08T14:28:08-07:00,48
4/8/18,move,walking,2018-04-08T14:40:20-07:00,2018-04-08T14:45:26-07:00,306
4/8/18,move,walking,2018-04-08T14:52:26-07:00,2018-04-08T14:52:56-07:00,30
4/8/18,move,walking,2018-04-08T14:57:11-07:00,2018-04-08T14:57:41-07:00,30
4/8/18,move,walking,2018-04-08T15:33:14-07:00,2018-04-08T15:40:59-07:00,465
4/8/18,place,Unknown,2018-04-08T15:41:00-07:00,2018-04-08T16:34:11-07:00,3191
4/8/18,move,walking,2018-04-08T16:34:11-07:00,2018-04-08T16:43:58-07:00,587
