Date,Name,Start,End,Duration,Latitude,Longitude,Category,Link
10/16/17,Unknown,2017-10-16T18:28:35-07:00,2017-10-16T19:58:38-07:00,5403,36.976847,-122.03257,,
10/16/17,Unknown,2017-10-16T21:11:26-07:00,2017-10-17T00:00:00-07:00,10114,36.976847,-122.03257,,
10/17/17,Unknown,2017-10-17T00:00:00-07:00,2017-10-17T08:15:57-07:00,29757,36.976847,-122.03257,,
10/17/17,Unknown,2017-10-17T08:32:37-07:00,2017-10-17T08:38:47-07:00,370,36.989663,-122.03392,,
10/17/17,Unknown,2017-10-17T08:38:47-07:00,2017-10-17T13:21:01-07:00,16934,36.989538,-122.03211,,
10/17/17,Unknown,2017-10-17T13:28:32-07:00,2017-10-17T13:49:10-07:00,1238,36.974564,-122.02387,,
10/17/17,Unknown,2017-10-17T13:53:59-07:00,2017-10-17T14:20:29-07:00,1590,36.983369,-122.02793,,
10/17/17,Unknown,2017-10-17T14:32:40-07:00,2017-10-17T14:42:45-07:00,605,37.030127,-122.05877,,
10/17/17,Unknown,2017-10-17T14:58:39-07:00,2017-10-17T15:19:00-07:00,1221,37.024541,-122.05775,,
10/17/17,Unknown,2017-10-17T15:19:01-07:00,2017-10-17T15:44:49-07:00,1548,37.023801,-122.05788,,
10/17/17,Unknown,2017-10-17T15:44:50-07:00,2017-10-17T15:51:40-07:00,410,37.02311,-122.05729,,
10/17/17,Unknown,2017-10-17T18:09:18-07:00,2017-10-18T00:00:00-07:00,21042,36.977121,-122.03255,,
10/18/17,Unknown,2017-10-18T00:00:00-07:00,2017-10-18T08:52:42-07:00,31962,36.977121,-122.03255,,
10/18/17,Unknown,2017-10-18T09:01:49-07:00,2017-10-18T15:30:59-07:00,23350,36.979268,-122.02167,,
10/18/17,Unknown,2017-10-18T15:45:58-07:00,2017-10-18T15:55:16-07:00,558,37.030127,-122.05877,,
10/18/17,Unknown,2017-10-18T16:15:40-07:00,2017-10-18T16:47:35-07:00,1915,37.023801,-122.05788,,
10/18/17,Unknown,2017-10-18T16:47:36-07:00,2017-10-18T17:22:40-07:00,2104,37.024541,-122.05775,,
10/18/17,Unknown,2017-10-18T17:34:45-07:00,2017-10-18T17:39:42-07:00,297,37.030535,-122.05895,,
10/18/17,Unknown,2017-10-18T17:55:09-07:00,2017-10-18T19:15:33-07:00,4824,36.989538,-122.03211,,
10/18/17,Unknown,2017-10-18T19:22:31-07:00,2017-10-18T21:11:43-07:00,6552,36.969145,-122.03834,,
10/19/17,Unknown,2017-10-19T13:05:25-07:00,2017-10-19T13:32:19-07:00,1614,36.96142,-122.04446,,
10/19/17,Unknown,2017-10-19T13:35:45-07:00,2017-10-19T15:04:28-07:00,5323,36.954577,-122.05788,,
10/19/17,Unknown,2017-10-19T15:16:33-07:00,2017-10-19T15:23:59-07:00,446,36.992881,-122.16807,,
10/19/17,Unknown,2017-10-19T15:29:38-07:00,2017-10-19T15:55:56-07:00,1578,36.992068,-122.16954,,
10/19/17,Unknown,2017-10-19T15:55:57-07:00,2017-10-19T16:23:23-07:00,1646,36.991458,-122.169,,
10/19/17,Unknown,2017-10-19T16:30:06-07:00,2017-10-19T16:36:32-07:00,386,36.988668,-122.16899,,
10/19/17,Unknown,2017-10-19T16:46:49-07:00,2017-10-19T17:00:39-07:00,830,36.992461,-122.16734,,
10/19/17,Unknown,2017-10-19T17:11:27-07:00,2017-10-19T19:49:44-07:00,9497,36.954539,-122.05839,,
10/19/17,Unknown,2017-10-19T20:32:54-07:00,2017-10-19T21:58:59-07:00,5165,36.957865,-122.03837,,
10/20/17,Unknown,2017-10-20T08:36:42-07:00,2017-10-20T09:14:02-07:00,2240,36.989538,-122.03211,,
10/20/17,Unknown,2017-10-20T09:17:17-07:00,2017-10-20T12:25:50-07:00,11313,36.976847,-122.03257,,
10/21/17,Unknown,2017-10-21T10:40:38-07:00,2017-10-21T11:00:59-07:00,1221,37.017576,-122.06286,,
10/21/17,Unknown,2017-10-21T11:10:57-07:00,2017-10-21T13:50:32-07:00,9575,37.02077,-122.06012,,
10/21/17,Unknown,2017-10-21T13:59:34-07:00,2017-10-21T14:25:50-07:00,1576,37.017205,-122.06281,,
10/21/17,Unknown,2017-10-21T14:50:57-07:00,2017-10-21T14:57:22-07:00,385,36.954537,-122.02887,,
10/21/17,Unknown,2017-10-21T15:03:45-07:00,2017-10-21T15:18:11-07:00,866,36.952705,-122.02576,,
10/21/17,Unknown,2017-10-21T15:18:11-07:00,2017-10-21T15:41:00-07:00,1369,36.951049,-122.02638,,
10/21/17,Unknown,2017-10-21T16:08:32-07:00,2017-10-21T16:41:17-07:00,1965,36.976847,-122.03257,,
10/21/17,Unknown,2017-10-21T16:59:45-07:00,2017-10-21T18:09:06-07:00,4161,36.974305,-122.02886,,
10/21/17,Unknown,2017-10-21T18:13:51-07:00,2017-10-21T20:40:26-07:00,8795,36.978992,-122.02744,,
10/21/17,Unknown,2017-10-21T21:09:14-07:00,2017-10-21T21:58:23-07:00,2949,36.979268,-122.02167,,
10/21/17,Unknown,2017-10-21T22:05:10-07:00,2017-10-22T00:00:00-07:00,6890,36.990206,-122.03658,,
10/22/17,Unknown,2017-10-22T00:00:00-07:00,2017-10-22T07:42:34-07:00,27754,36.990206,-122.03658,,
10/22/17,Unknown,2017-10-22T07:42:35-07:00,2017-10-22T09:02:43-07:00,4808,36.989632,-122.03326,,
10/23/17,Unknown,2017-10-23T13:45:28-07:00,2017-10-23T15:18:05-07:00,5557,36.977121,-122.03255,,
10/23/17,Unknown,2017-10-23T15:30:08-07:00,2017-10-23T15:42:58-07:00,770,37.017205,-122.06281,,
10/23/17,Unknown,2017-10-23T15:54:37-07:00,2017-10-23T17:28:19-07:00,5622,37.02077,-122.06012,,
10/23/17,Unknown,2017-10-23T17:38:01-07:00,2017-10-23T17:51:51-07:00,830,37.017576,-122.06286,,
10/23/17,Unknown,2017-10-23T18:03:24-07:00,2017-10-23T20:00:20-07:00,7016,36.989538,-122.03211,,
10/23/17,Unknown,2017-10-23T20:06:23-07:00,2017-10-23T20:28:20-07:00,1317,36.975077,-122.02472,,
10/23/17,Unknown,2017-10-23T20:35:47-07:00,2017-10-24T00:00:00-07:00,12253,36.989589,-122.03263,,
10/24/17,Unknown,2017-10-24T00:00:00-07:00,2017-10-24T09:58:45-07:00,35925,36.989589,-122.03263,,
10/24/17,Unknown,2017-10-24T10:15:25-07:00,2017-10-24T14:42:07-07:00,16002,36.977121,-122.03255,,
10/24/17,Unknown,2017-10-24T14:53:17-07:00,2017-10-24T15:01:02-07:00,465,36.970083,-122.11948,,
10/24/17,Unknown,2017-10-24T15:11:14-07:00,2017-10-24T15:22:30-07:00,676,36.966515,-122.12349,,
10/24/17,Unknown,2017-10-24T15:36:21-07:00,2017-10-24T15:40:20-07:00,239,36.964692,-122.12031,,
10/24/17,Unknown,2017-10-24T16:03:47-07:00,2017-10-24T16:08:47-07:00,300,36.961776,-122.04463,,
10/24/17,Unknown,2017-10-24T16:19:12-07:00,2017-10-24T22:22:08-07:00,21776,36.977121,-122.03255,,
10/24/17,Unknown,2017-10-24T22:34:44-07:00,2017-10-25T00:00:00-07:00,5116,36.990206,-122.03658,,
10/25/17,Unknown,2017-10-25T00:00:00-07:00,2017-10-25T08:39:04-07:00,31144,36.990206,-122.03658,,
10/26/17,Unknown,2017-10-26T14:00:55-07:00,2017-10-26T14:13:53-07:00,778,36.992999,-122.03426,,
10/26/17,Unknown,2017-10-26T14:26:02-07:00,2017-10-26T14:38:13-07:00,731,37.015501,-122.03553,,
10/26/17,Unknown,2017-10-26T14:38:14-07:00,2017-10-26T14:53:16-07:00,902,37.016476,-122.03669,,
10/26/17,Unknown,2017-10-26T15:07:52-07:00,2017-10-26T15:11:55-07:00,243,37.015364,-122.03463,,
10/26/17,Unknown,2017-10-26T15:18:53-07:00,2017-10-26T22:55:50-07:00,27417,36.976847,-122.03257,,
10/26/17,Unknown,2017-10-26T23:03:57-07:00,2017-10-27T00:00:00-07:00,3363,36.990206,-122.03658,,
10/27/17,Unknown,2017-10-27T00:00:00-07:00,2017-10-27T07:18:43-07:00,26323,36.990206,-122.03658,,
10/27/17,Unknown,2017-10-27T22:06:19-07:00,2017-10-28T00:00:00-07:00,6821,36.990206,-122.03658,,
10/28/17,Unknown,2017-10-28T00:00:00-07:00,2017-10-28T13:06:35-07:00,47195,36.990206,-122.03658,,
10/28/17,Unknown,2017-10-28T13:23:15-07:00,2017-10-28T14:05:22-07:00,2527,36.96281,-122.02468,,
10/28/17,Unknown,2017-10-28T14:09:58-07:00,2017-10-28T14:55:43-07:00,2745,36.957865,-122.03837,,
10/28/17,Unknown,2017-10-28T15:09:13-07:00,2017-10-28T18:44:24-07:00,12911,36.954457,-122.05915,,
10/28/17,Unknown,2017-10-28T19:39:34-07:00,2017-10-29T00:00:00-07:00,15626,36.957865,-122.03837,,
10/29/17,Unknown,2017-10-29T00:00:00-07:00,2017-10-29T12:30:24-07:00,45024,36.957865,-122.03837,,
10/29/17,Unknown,2017-10-29T12:47:04-07:00,2017-10-29T14:27:07-07:00,6003,36.977121,-122.03255,,
10/29/17,Unknown,2017-10-29T14:40:49-07:00,2017-10-29T15:37:43-07:00,3414,36.957322,-122.02547,,
10/29/17,Unknown,2017-10-29T15:41:04-07:00,2017-10-29T16:00:39-07:00,1175,36.951814,-122.02715,,
10/29/17,Unknown,2017-10-29T16:17:35-07:00,2017-10-29T16:29:52-07:00,737,36.949784,-122.06022,,
10/29/17,Unknown,2017-10-29T16:42:45-07:00,2017-10-29T19:00:45-07:00,8280,36.954457,-122.05915,,
10/29/17,Unknown,2017-10-29T19:13:51-07:00,2017-10-29T19:27:19-07:00,808,36.961196,-122.04369,,
10/29/17,Unknown,2017-10-29T19:30:19-07:00,2017-10-29T19:47:37-07:00,1038,36.957108,-122.03783,,
10/29/17,Unknown,2017-10-29T19:47:38-07:00,2017-10-29T21:11:47-07:00,5049,36.957865,-122.03837,,
10/30/17,Unknown,2017-10-30T12:35:17-07:00,2017-10-30T13:47:49-07:00,4352,36.989538,-122.03211,,
10/30/17,Unknown,2017-10-30T14:07:07-07:00,2017-10-30T16:21:43-07:00,8076,36.960257,-121.9655,,
10/30/17,Unknown,2017-10-30T16:31:51-07:00,2017-10-30T16:52:18-07:00,1227,36.97808,-121.96865,,
10/30/17,Unknown,2017-10-30T17:05:52-07:00,2017-10-30T22:43:05-07:00,20233,36.987003,-121.96436,,
10/30/17,Unknown,2017-10-30T22:51:04-07:00,2017-10-31T00:00:00-07:00,4136,36.990206,-122.03658,,
10/31/17,Unknown,2017-10-31T00:00:00-07:00,2017-10-31T08:31:59-07:00,30719,36.990206,-122.03658,,
10/31/17,Unknown,2017-10-31T08:34:56-07:00,2017-10-31T13:34:41-07:00,17985,36.976847,-122.03257,,
10/31/17,Unknown,2017-10-31T13:36:57-07:00,2017-10-31T16:20:50-07:00,9833,36.969145,-122.03834,,
10/31/17,Unknown,2017-10-31T16:28:10-07:00,2017-10-31T16:41:47-07:00,817,36.988558,-122.06658,,
10/31/17,Unknown,2017-10-31T17:10:02-07:00,2017-10-31T17:13:12-07:00,190,36.984782,-122.07242,,
10/31/17,Unknown,2017-10-31T17:25:52-07:00,2017-10-31T17:27:52-07:00,120,36.989029,-122.07229,,
10/31/17,Unknown,2017-10-31T17:46:49-07:00,2017-10-31T19:48:55-07:00,7326,36.988558,-122.06658,,
