Date,Type,Name,Start,End,Duration
3/23/18,move,transport,2018-03-23T22:32:21-07:00,2018-03-23T22:57:30-07:00,1509
3/23/18,place,Unknown,2018-03-23T22:57:31-07:00,2018-03-24T00:00:00-07:00,3749
3/24/18,place,Unknown,2018-03-24T00:00:00-07:00,2018-03-24T11:51:34-07:00,42694
3/24/18,move,transport,2018-03-24T11:51:34-07:00,2018-03-24T11:59:05-07:00,451
3/24/18,place,Unknown,2018-03-24T11:59:06-07:00,2018-03-24T12:53:29-07:00,3263
3/24/18,move,transport,2018-03-24T12:53:29-07:00,2018-03-24T12:57:21-07:00,232
3/24/18,place,Unknown,2018-03-24T12:57:22-07:00,2018-03-24T13:35:37-07:00,2295
3/24/18,move,transport,2018-03-24T13:35:37-07:00,2018-03-24T13:54:58-07:00,1161
3/24/18,place,Unknown,2018-03-24T13:54:59-07:00,2018-03-24T14:16:24-07:00,1285
3/24/18,move,transport,2018-03-24T14:16:24-07:00,2018-03-24T14:25:41-07:00,557
3/24/18,place,Unknown,2018-03-24T14:25:42-07:00,2018-03-24T16:24:06-07:00,7104
3/24/18,move,transport,2018-03-24T16:24:06-07:00,2018-03-24T16:40:45-07:00,999
3/24/18,place,Unknown,2018-03-24T16:40:46-07:00,2018-03-24T17:03:19-07:00,1353
3/24/18,place,Unknown,2018-03-24T17:03:20-07:00,2018-03-24T17:12:51-07:00,571
3/24/18,move,transport,2018-03-24T17:12:51-07:00,2018-03-24T17:32:11-07:00,1160
3/24/18,place,Unknown,2018-03-24T17:32:12-07:00,2018-03-24T19:07:16-07:00,5704
3/24/18,move,transport,2018-03-24T19:07:16-07:00,2018-03-24T19:15:00-07:00,464
3/24/18,place,Unknown,2018-03-24T19:15:01-07:00,2018-03-24T19:44:50-07:00,1789
3/24/18,move,transport,2018-03-24T19:44:50-07:00,2018-03-24T19:48:49-07:00,239
3/24/18,place,Unknown,2018-03-24T19:48:50-07:00,2018-03-24T22:38:19-07:00,10169
3/25/18,move,transport,2018-03-25T09:06:50-07:00,2018-03-25T09:11:46-07:00,296
3/25/18,place,Unknown,2018-03-25T09:11:47-07:00,2018-03-25T09:47:42-07:00,2155
3/25/18,move,transport,2018-03-25T09:47:42-07:00,2018-03-25T09:54:11-07:00,389
3/25/18,place,Unknown,2018-03-25T09:54:12-07:00,2018-03-25T12:57:22-07:00,10990
3/25/18,move,transport,2018-03-25T12:57:22-07:00,2018-03-25T13:14:52-07:00,1050
3/25/18,place,Unknown,2018-03-25T13:14:53-07:00,2018-03-25T15:35:26-07:00,8433
3/25/18,place,Unknown,2018-03-25T21:01:21-07:00,2018-03-26T00:00:00-07:00,10719
