Date,Activity,Group,Start,End,Duration,Distance,Steps,Calories
1/4/18,walking,walking,2018-01-04T11:48:44-07:00,2018-01-04T11:52:53-07:00,249,0.178,333,17
1/4/18,transport,transport,2018-01-04T11:55:00-07:00,2018-01-04T11:58:42-07:00,222,0.313,0,0
1/4/18,walking,walking,2018-01-04T13:13:08-07:00,2018-01-04T13:15:41-07:00,153,0.109,204,10
1/4/18,transport,transport,2018-01-04T13:24:56-07:00,2018-01-04T13:37:39-07:00,763,6.078,0,0
1/4/18,transport,transport,2018-01-04T13:47:15-07:00,2018-01-04T14:02:24-07:00,909,13.503,0,0
1/4/18,walking,walking,2018-01-04T14:22:26-07:00,2018-01-04T14:23:39-07:00,73,0.034,110,3
1/4/18,walking,walking,2018-01-04T14:26:21-07:00,2018-01-04T15:14:21-07:00,2880,1.584,3931,151
1/4/18,walking,walking,2018-01-04T15:26:21-07:00,2018-01-04T15:31:18-07:00,297,0.208,445,20
1/4/18,walking,walking,2018-01-04T15:45:06-07:00,2018-01-04T15:59:40-07:00,874,0.447,1161,43
1/4/18,walking,walking,2018-01-04T16:07:33-07:00,2018-01-04T16:41:03-07:00,2010,1.272,3022,121
1/4/18,transport,transport,2018-01-04T17:33:43-07:00,2018-01-04T18:10:25-07:00,2202,6.841,0,0
