Date,Activity,Group,Duration,Distance,Steps,Calories
7/1/18,transport,transport,8826,60.557,0,0
7/1/18,walking,walking,2351,1.607,4254,153
7/2/18,transport,transport,3549,13.460,0,0
7/2/18,walking,walking,1452,0.802,1772,76
7/3/18,transport,transport,2754,14.329,0,0
7/3/18,walking,walking,1368,0.864,1938,82
7/4/18,transport,transport,3497,10.092,0,0
7/4/18,walking,walking,1840,1.257,2915,120
7/5/18,transport,transport,3714,11.677,0,0
7/5/18,walking,walking,1577,1.113,2485,106
7/6/18,transport,transport,1455,7.516,0,0
7/6/18,walking,walking,1445,0.753,1883,72
7/7/18,transport,transport,1935,11.678,0,0
7/7/18,walking,walking,493,0.328,783,31
7/8/18,transport,transport,3326,11.821,0,0
7/8/18,walking,walking,2305,1.267,3856,121
7/9/18,transport,transport,4498,14.330,0,0
7/9/18,walking,walking,317,0.163,507,16
7/10/18,transport,transport,2785,9.607,0,0
7/10/18,walking,walking,1783,0.871,2290,83
7/11/18,transport,transport,3252,10.139,0,0
7/11/18,walking,walking,278,0.183,384,17
7/12/18,transport,transport,1379,2.075,0,0
7/12/18,walking,walking,2317,1.683,3621,161
7/13/18,transport,transport,6187,10.556,0,0
7/13/18,walking,walking,33,0.016,50,1
7/14/18,transport,transport,4708,15.411,0,0
7/14/18,walking,walking,1161,0.524,1333,50
7/15/18,transport,transport,2026,6.755,0,0
7/15/18,walking,walking,1094,0.597,1356,57
7/16/18,transport,transport,6856,19.937,0,0
7/16/18,walking,walking,698,0.449,969,43
7/17/18,transport,transport,1320,4.383,0,0
7/17/18,walking,walking,171,0.078,251,7
7/18/18,transport,transport,433,2.369,0,0
7/19/18,transport,transport,19253,271.667,0,0
7/19/18,walking,walking,1532,1.023,2603,98
7/20/18,walking,walking,801,0.556,1181,53
7/20/18,transport,transport,1870,2.970,0,0
7/22/18,walking,walking,33,0.016,50,1
7/22/18,transport,transport,525,0.766,0,0
7/23/18,transport,transport,3848,7.452,0,0
7/23/18,walking,walking,1284,0.671,1769,64
7/24/18,transport,transport,1174,5.102,0,0
7/24/18,walking,walking,1435,1.022,2079,97
7/25/18,transport,transport,14494,122.520,0,0
7/25/18,walking,walking,249,0.121,388,11
7/27/18,walking,walking,2654,1.512,4063,144
7/27/18,transport,transport,3401,20.983,0,0
7/29/18,walking,walking,2275,1.452,3592,139
7/29/18,transport,transport,3828,8.137,0,0
